,annotation_file,image_file,class,width,height,depth,xmin,ymin,xmax,ymax
0,2009_002588.xml,2009_002588.jpg,person,500.0,332.0,3.0,54.0,103.0,65.0,130.0
1,2010_006744.xml,2010_006744.jpg,person,500.0,375.0,3.0,254.0,266.0,301.0,338.0
2,2009_002569.xml,2009_002569.jpg,person,500.0,333.0,3.0,170.0,137.0,385.0,315.0
3,2009_002569.xml,2009_002569.jpg,motorbike,500.0,333.0,3.0,213.0,153.0,376.0,315.0
4,2009_002569.xml,2009_002569.jpg,motorbike,500.0,333.0,3.0,130.0,20.0,253.0,143.0
5,2009_002569.xml,2009_002569.jpg,person,500.0,333.0,3.0,132.0,1.0,279.0,142.0
6,2009_002054.xml,2009_002054.jpg,person,500.0,375.0,3.0,223.0,70.0,348.0,375.0
7,2009_002054.xml,2009_002054.jpg,person,500.0,375.0,3.0,35.0,11.0,258.0,375.0
8,2009_004175.xml,2009_004175.jpg,person,500.0,294.0,3.0,339.0,168.0,387.0,247.0
9,2009_004175.xml,2009_004175.jpg,motorbike,500.0,294.0,3.0,346.0,216.0,376.0,264.0
10,2009_004175.xml,2009_004175.jpg,car,500.0,294.0,3.0,250.0,157.0,330.0,208.0
11,2009_004175.xml,2009_004175.jpg,motorbike,500.0,294.0,3.0,325.0,170.0,344.0,203.0
12,2009_004175.xml,2009_004175.jpg,person,500.0,294.0,3.0,132.0,154.0,147.0,176.0
13,2009_004175.xml,2009_004175.jpg,person,500.0,294.0,3.0,77.0,142.0,92.0,166.0
14,2009_004175.xml,2009_004175.jpg,motorbike,500.0,294.0,3.0,78.0,157.0,95.0,170.0
15,2009_004175.xml,2009_004175.jpg,motorbike,500.0,294.0,3.0,128.0,162.0,149.0,177.0
16,2009_001084.xml,2009_001084.jpg,person,333.0,500.0,3.0,82.0,120.0,240.0,422.0
17,2011_005900.xml,2011_005900.jpg,person,500.0,375.0,3.0,162.0,78.0,401.0,375.0
18,2010_006574.xml,2010_006574.jpg,person,500.0,374.0,3.0,145.0,42.0,254.0,362.0
19,2010_006574.xml,2010_006574.jpg,person,500.0,374.0,3.0,400.0,68.0,468.0,242.0
20,2011_005690.xml,2011_005690.jpg,person,500.0,375.0,3.0,323.0,68.0,438.0,375.0
21,2011_005690.xml,2011_005690.jpg,person,500.0,375.0,3.0,1.0,58.0,141.0,375.0
22,2011_005690.xml,2011_005690.jpg,person,500.0,375.0,3.0,218.0,121.0,308.0,304.0
23,2012_000590.xml,2012_000590.jpg,person,500.0,377.0,3.0,32.0,127.0,148.0,318.0
24,2012_000590.xml,2012_000590.jpg,person,500.0,377.0,3.0,361.0,261.0,402.0,335.0
25,2008_000993.xml,2008_000993.jpg,person,500.0,333.0,3.0,1.0,87.0,280.0,333.0
26,2008_000993.xml,2008_000993.jpg,person,500.0,333.0,3.0,271.0,67.0,500.0,333.0
27,2011_004425.xml,2011_004425.jpg,person,480.0,360.0,3.0,230.0,71.0,274.0,202.0
28,2008_007346.xml,2008_007346.jpg,person,500.0,333.0,3.0,82.0,142.0,88.0,154.0
29,2008_007346.xml,2008_007346.jpg,person,500.0,333.0,3.0,280.0,185.0,297.0,205.0
30,2008_007346.xml,2008_007346.jpg,person,500.0,333.0,3.0,267.0,184.0,280.0,204.0
31,2008_007346.xml,2008_007346.jpg,person,500.0,333.0,3.0,255.0,183.0,269.0,204.0
32,2008_007346.xml,2008_007346.jpg,person,500.0,333.0,3.0,243.0,184.0,257.0,203.0
33,2008_007346.xml,2008_007346.jpg,car,500.0,333.0,3.0,410.0,117.0,456.0,132.0
34,2008_007346.xml,2008_007346.jpg,car,500.0,333.0,3.0,71.0,142.0,109.0,153.0
35,2011_001621.xml,2011_001621.jpg,person,500.0,375.0,3.0,1.0,155.0,127.0,362.0
36,2011_001621.xml,2011_001621.jpg,person,500.0,375.0,3.0,191.0,117.0,216.0,264.0
37,2010_005750.xml,2010_005750.jpg,car,500.0,333.0,3.0,65.0,85.0,394.0,249.0
38,2010_005750.xml,2010_005750.jpg,car,500.0,333.0,3.0,145.0,236.0,500.0,333.0
39,2010_005750.xml,2010_005750.jpg,car,500.0,333.0,3.0,451.0,212.0,500.0,298.0
40,2008_002412.xml,2008_002412.jpg,bus,500.0,376.0,3.0,25.0,157.0,486.0,333.0
41,2008_002412.xml,2008_002412.jpg,person,500.0,376.0,3.0,135.0,207.0,152.0,226.0
42,2009_004102.xml,2009_004102.jpg,car,500.0,333.0,3.0,51.0,66.0,444.0,296.0
43,2009_004102.xml,2009_004102.jpg,car,500.0,333.0,3.0,21.0,102.0,154.0,183.0
44,2009_004102.xml,2009_004102.jpg,person,500.0,333.0,3.0,1.0,55.0,47.0,216.0
45,2009_004102.xml,2009_004102.jpg,person,500.0,333.0,3.0,414.0,73.0,462.0,211.0
46,2009_004102.xml,2009_004102.jpg,person,500.0,333.0,3.0,457.0,44.0,500.0,195.0
47,2009_004102.xml,2009_004102.jpg,person,500.0,333.0,3.0,150.0,53.0,188.0,133.0
48,2009_004102.xml,2009_004102.jpg,person,500.0,333.0,3.0,144.0,85.0,243.0,136.0
49,2011_002958.xml,2011_002958.jpg,bicycle,500.0,333.0,3.0,43.0,87.0,133.0,279.0
50,2011_002958.xml,2011_002958.jpg,person,500.0,333.0,3.0,478.0,44.0,500.0,168.0
51,2011_002958.xml,2011_002958.jpg,person,500.0,333.0,3.0,379.0,1.0,475.0,265.0
52,2011_002958.xml,2011_002958.jpg,person,500.0,333.0,3.0,228.0,43.0,375.0,333.0
53,2011_002958.xml,2011_002958.jpg,person,500.0,333.0,3.0,112.0,39.0,230.0,319.0
54,2011_000874.xml,2011_000874.jpg,person,500.0,313.0,3.0,458.0,171.0,467.0,199.0
55,2008_001860.xml,2008_001860.jpg,person,500.0,333.0,3.0,271.0,129.0,400.0,292.0
56,2008_001860.xml,2008_001860.jpg,person,500.0,333.0,3.0,1.0,86.0,98.0,320.0
57,2008_001860.xml,2008_001860.jpg,bicycle,500.0,333.0,3.0,1.0,201.0,151.0,333.0
58,2008_001860.xml,2008_001860.jpg,car,500.0,333.0,3.0,430.0,231.0,500.0,274.0
59,2008_001860.xml,2008_001860.jpg,car,500.0,333.0,3.0,395.0,235.0,427.0,281.0
60,2011_006135.xml,2011_006135.jpg,person,500.0,375.0,3.0,391.0,144.0,470.0,315.0
61,2012_004038.xml,2012_004038.jpg,person,500.0,334.0,3.0,1.0,33.0,336.0,334.0
62,2008_004077.xml,2008_004077.jpg,person,500.0,375.0,3.0,140.0,52.0,360.0,315.0
63,2009_003500.xml,2009_003500.jpg,car,500.0,333.0,3.0,45.0,2.0,415.0,333.0
64,2011_004451.xml,2011_004451.jpg,person,500.0,375.0,3.0,235.0,240.0,258.0,301.0
65,2011_004451.xml,2011_004451.jpg,person,500.0,375.0,3.0,267.0,246.0,291.0,298.0
66,2011_006287.xml,2011_006287.jpg,person,500.0,375.0,3.0,131.0,71.0,500.0,375.0
67,2011_002154.xml,2011_002154.jpg,person,500.0,375.0,3.0,212.0,101.0,232.0,129.0
68,2011_002154.xml,2011_002154.jpg,person,500.0,375.0,3.0,331.0,100.0,356.0,134.0
69,2012_001911.xml,2012_001911.jpg,person,500.0,333.0,3.0,175.0,1.0,500.0,333.0
70,2007_001586.xml,2007_001586.jpg,person,480.0,398.0,3.0,211.0,40.0,331.0,237.0
71,2008_000734.xml,2008_000734.jpg,person,320.0,457.0,3.0,87.0,67.0,319.0,401.0
72,2008_000734.xml,2008_000734.jpg,person,320.0,457.0,3.0,18.0,12.0,281.0,457.0
